,Name,Rating,Genre,Release date,Runtime,Director,Link
40,Pirates of the Caribbean: On Stranger Tides,65.0,"Adventure, Action, Fantasy",        05/20/2011 (IN)      ,              2h 17m          ,Rob Marshall,https://www.themoviedb.org/movie/1865
41,Resident Evil: Welcome to Raccoon City,62.0,"Horror, Action, Science Fiction",        11/26/2021 (IN)      ,              1h 47m          ,Johannes Roberts,https://www.themoviedb.org/movie/460458
42,Desperate Riders,61.0,"Western, Action",        02/25/2022 (US)      ,              1h 30m          ,Michael Feifer,https://www.themoviedb.org/movie/928999
43,Pirates of the Caribbean: Dead Man's Chest,73.0,"Adventure, Fantasy, Action",        07/07/2006 (US)      ,              2h 31m          ,Gore Verbinski,https://www.themoviedb.org/movie/58
44,Ghostbusters: Afterlife,77.0,"Fantasy, Comedy, Adventure",        11/11/2021 (CA)      ,              2h 4m          ,Jason Reitman,https://www.themoviedb.org/movie/425909
45,Shang-Chi and the Legend of the Ten Rings,77.0,"Action, Adventure, Fantasy",        09/03/2021 (IN)      ,              2h 12m          ,Destin Daniel Cretton,https://www.themoviedb.org/movie/566525
46,Kimi,62.0,Thriller,        02/10/2022 (DE)      ,              1h 29m          ,Steven Soderbergh,https://www.themoviedb.org/movie/800510
47,The Commando,66.0,"Action, Crime, Thriller",        01/07/2022 (US)      ,              1h 33m          ,Asif Akbar,https://www.themoviedb.org/movie/753232
48,Scream,68.0,"Horror, Mystery, Thriller",        01/14/2022 (US)      ,              1h 54m          ,Tyler Gillett,https://www.themoviedb.org/movie/646385
49,Pirates of the Caribbean: At World's End,72.0,"Adventure, Fantasy, Action",        05/19/2007 (US)      ,              2h 49m          ,Gore Verbinski,https://www.themoviedb.org/movie/285
50,Jackass Forever,69.0,"Comedy, Documentary, Action",        02/04/2022 (US)      ,              1h 36m          ,Jeff Tremaine,https://www.themoviedb.org/movie/656663
51,Pirates of the Caribbean: The Curse of the Black Pearl,78.0,"Adventure, Fantasy, Action",        08/15/2003 (IN)      ,              2h 23m          ,Gore Verbinski,https://www.themoviedb.org/movie/22
52,The Matrix Resurrections,67.0,"Science Fiction, Action, Adventure",        12/22/2021 (US)      ,              2h 28m          ,Lana Wachowski,https://www.themoviedb.org/movie/624860
53,Nightmare Alley,71.0,"Crime, Drama, Thriller",        12/03/2021 (IN)      ,              2h 30m          ,Guillermo del Toro,https://www.themoviedb.org/movie/597208
54,Doctor Strange,74.0,"Action, Adventure, Fantasy, Science Fiction",        11/04/2016 (IN)      ,              1h 55m          ,Scott Derrickson,https://www.themoviedb.org/movie/284052
55,Fistful of Vengeance,54.0,"Action, Crime, Fantasy",        02/17/2022 (US)      ,              1h 34m          ,Roel Reiné,https://www.themoviedb.org/movie/890656
56,The Seven Deadly Sins: Cursed by Light,79.0,"Animation, Fantasy",        07/02/2021 (JP)      ,              1h 19m          ,Takayuki Hamana,https://www.themoviedb.org/movie/843241
57,The Boss Baby: Family Business,76.0,"Animation, Comedy, Adventure, Family",        07/02/2021 (US)      ,              1h 47m          ,Tom McGrath,https://www.themoviedb.org/movie/459151
58,Texas Chainsaw Massacre,51.0,"Horror, Thriller",        02/18/2022 (US)      ,              1h 23m          ,David Blue Garcia,https://www.themoviedb.org/movie/632727
59,The Northman,77.0,"Action, Adventure, Fantasy, Thriller",        04/22/2022 (US)      ,              2h 17m          ,Robert Eggers,https://www.themoviedb.org/movie/639933
60,Looop Lapeta,62.0,"Action, Comedy, Crime",        02/04/2022 (IN)      ,              2h 11m          ,Aakash Bhatia,https://www.themoviedb.org/movie/783461
61,Red Notice,68.0,"Action, Comedy, Crime, Thriller",        11/05/2021 (US)      ,              1h 58m          ,Rawson Marshall Thurber,https://www.themoviedb.org/movie/512195
62,Clifford the Big Red Dog,73.0,"Family, Adventure, Comedy, Fantasy",        11/10/2021 (US)      ,              1h 37m          ,Walt Becker,https://www.themoviedb.org/movie/585245
63,Metal Lords,68.0,"Comedy, Drama, Music",        04/08/2022 (US)      ,              1h 37m          ,Peter Sollett,https://www.themoviedb.org/movie/739993
64,Tom and Jerry: Cowboy Up!,70,"Animation, Comedy, Family, Western",        01/25/2022 (US)      ,              1h 15m          ,Darrell Van Citters,https://www.themoviedb.org/movie/892153
65,The House,70,"Animation, Drama, Comedy, Horror",        01/14/2022 (GB)      ,              1h 37m          ,Emma De Swaef,https://www.themoviedb.org/movie/926899
66,PAW Patrol: The Movie,75.0,"Animation, Family, Adventure, Comedy",        08/20/2021 (US)      ,              1h 26m          ,Cal Brunker,https://www.themoviedb.org/movie/675445
67,American Siege,59.0,"Action, Thriller, Crime, Drama",        03/31/2022 (RU)      ,              1h 30m          ,Edward Drake,https://www.themoviedb.org/movie/766907
68,Pursuit,55.0,"Action, Crime, Thriller",        02/18/2022 (US)      ,              1h 32m          ,Brian Skiba,https://www.themoviedb.org/movie/871799
69,The Simpsons in Plusaversary,67.0,"Animation, Comedy, Fantasy",        11/12/2021 (US)      ,              4m          ,David Silverman,https://www.themoviedb.org/movie/877183
70,The 355,60,"Action, Thriller",        01/07/2022 (US)      ,              2h 2m          ,Simon Kinberg,https://www.themoviedb.org/movie/522016
71,Chernobyl: Abyss,61.0,"Drama, History, Adventure",        04/15/2021 (RU)      ,              2h 16m          ,Danila Kozlovsky,https://www.themoviedb.org/movie/589761
72,Mortal Kombat,72.0,"Action, Fantasy, Adventure",        04/23/2021 (IN)      ,              1h 50m          ,Simon McQuoid,https://www.themoviedb.org/movie/460465
73,The Lost City,70,"Action, Adventure, Comedy, Romance",        03/25/2022 (US)      ,              1h 52m          ,Aaron Nee,https://www.themoviedb.org/movie/752623
74,Pirates of the Caribbean: Dead Men Tell No Tales,66.0,"Adventure, Action, Fantasy",        05/26/2017 (IN)      ,              2h 9m          ,Joachim Rønning,https://www.themoviedb.org/movie/166426
75,Through My Window,76.0,"Romance, Drama",        02/04/2022 (ES)      ,              1h 52m          ,Marçal Forés,https://www.themoviedb.org/movie/818647
76,Dancing on Glass,60,Drama,        04/08/2022 (US)      ,              2h 17m          ,Jota Linares,https://www.themoviedb.org/movie/800407
77,Run Gun,51.0,"Action, Thriller",        01/11/2022 (US)      ,              1h 36m          ,Christopher Borrelli,https://www.themoviedb.org/movie/910596
78,The Suicide Squad,77.0,"Action, Adventure, Fantasy",        08/06/2021 (IN)      ,              2h 12m          ,James Gunn,https://www.themoviedb.org/movie/436969
79,Queen of Spades,64.0,Horror,        08/19/2021 (RU)      ,              1h 31m          ,Patrick White,https://www.themoviedb.org/movie/829358
80,Avengers: Infinity War,83.0,"Adventure, Action, Science Fiction",        04/27/2018 (IN)      ,              2h 29m          ,Joe Russo,https://www.themoviedb.org/movie/299536
81,Echoes of a Crime,72.0,"Thriller, Horror",        01/27/2022 (AR)      ,None,Cristian Bernard,https://www.themoviedb.org/movie/842052
